Active,For Launch,System,Item ID,Category,Item Name,Name Translation,Description Translation,Rarity,Icon ID,Collection,Coin Price,Premium Price,Dollar Price,Override,Source,Gearbox Pool,In Daily,In Weekly,In Static,Status,Description
,TRUE,Cosmetic,,Accessory,Fanciest Cane,,,Rare,,,"3,656",150, $ 3.00 ,---,parts,genericC,TRUE,TRUE,FALSE,None,Ornate walking stick with a jeweled tip.
,TRUE,Cosmetic,,Accessory,Fancy Cane,,,Common,,,938,50, $ 1.00 ,---,parts,genericC,TRUE,TRUE,FALSE,None,"Nice, polished wood cane with an elegant curve. Traditional old man cane."
TRUE,TRUE,Cosmetic,accessory_gauntlet_of_power,Accessory,Gauntlet of Power,accessory_gauntlet_of_power.name,accessory_gauntlet_of_power.desc,Legendary,mcc:island_cosmetics.accessory.gauntlet_of_power,Epiclandlord's Legendary Arsenal,"27,000",600, $ 12.00 ,---,parts,genericD,TRUE,TRUE,FALSE,Complete,[Aw Snap!]
TRUE,TRUE,Cosmetic,accessory_green_geckos_flag,Accessory,Green Geckos' Flag,accessory_green_geckos_flag.name,accessory_green_geckos_flag.desc,Epic,mcc:island_cosmetics.accessory.green_geckos_flag,Faction Mastery,---,---, --- ,No Currency,factionReward,none,FALSE,FALSE,FALSE,None,A golden rod with a colored flag depicting the associated faction logo.
TRUE,TRUE,Cosmetic,accessory_hair_dryer,Accessory,Hair Dryer,accessory_hair_dryer.name,accessory_hair_dryer.desc,Common,mcc:island_cosmetics.accessory.hair_dryer,,938,50, $ 1.00 ,---,parts,genericA,TRUE,TRUE,FALSE,None,Hair Dryer
TRUE,TRUE,Cosmetic,accessory_hot_dog,Accessory,Hot Dog,accessory_hot_dog.name,accessory_hot_dog.desc,Common,mcc:island_cosmetics.accessory.hot_dog,,938,50, $ 1.00 ,---,parts,genericB,TRUE,TRUE,FALSE,Complete,[Is it a sandwich? Or a taco?]
TRUE,TRUE,Cosmetic,accessory_lantern,Accessory,Lantern,accessory_lantern.name,accessory_lantern.desc,Epic,mcc:island_cosmetics.accessory.lantern,Spooktacular,"8,438",300, $ 6.00 ,---,parts,parkourTag,TRUE,TRUE,FALSE,None,A lantern dangles from your grip and shines light around the player.
TRUE,TRUE,Cosmetic,accessory_lime_llamas_flag,Accessory,Lime Llamas' Flag,accessory_lime_llamas_flag.name,accessory_lime_llamas_flag.desc,Epic,mcc:island_cosmetics.accessory.lime_llamas_flag,Faction Mastery,---,---, --- ,No Currency,factionReward,none,FALSE,FALSE,FALSE,None,A golden rod with a colored flag depicting the associated faction logo.
TRUE,TRUE,Cosmetic,accessory_magicians_wand,Accessory,Magician's Wand,accessory_magicians_wand.name,accessory_magicians_wand.desc,Uncommon,mcc:island_cosmetics.accessory.magicians_wand,Mineshafts and Magic,"1,406",75, $ 1.50 ,---,accessoryStore,genericC,TRUE,TRUE,FALSE,None,[Abracadabra!]
TRUE,TRUE,Cosmetic,accessory_magnifying_glass,Accessory,Magnifying Glass,accessory_magnifying_glass.name,accessory_magnifying_glass.desc,Common,mcc:island_cosmetics.accessory.magnifying_glass,,938,50, $ 1.00 ,---,parts,parkourTag,TRUE,TRUE,FALSE,None,Magnifying Glass
,TRUE,Cosmetic,,Accessory,Megaphone,,,Uncommon,,,"1,406",75, $ 1.50 ,---,parts,hitw,TRUE,TRUE,FALSE,None,A white megaphone with a red back and outline.
TRUE,TRUE,Cosmetic,accessory_money_bag,Accessory,Money Bag,accessory_money_bag.name,accessory_money_bag.desc,Rare,mcc:island_cosmetics.accessory.money_bag,,"3,656",150, $ 3.00 ,---,parts,genericD,TRUE,TRUE,FALSE,None,Hold a sack of cash with a dollar sign emblazoned on the side. It hangs under your grip.
,TRUE,Cosmetic,,Accessory,Offhand Crown,,,Epic,,MC Championship,"8,438",300, $ 6.00 ,---,bundle,genericA,TRUE,TRUE,FALSE,None,Hold a shiny crown in your off-hand.
TRUE,TRUE,Cosmetic,accessory_orange_ocelots_flag,Accessory,Orange Ocelots' Flag,accessory_orange_ocelots_flag.name,accessory_orange_ocelots_flag.desc,Epic,mcc:island_cosmetics.accessory.orange_ocelots_flag,Faction Mastery,---,---, --- ,No Currency,factionReward,none,FALSE,FALSE,FALSE,None,A golden rod with a colored flag depicting the associated faction logo.
,TRUE,Cosmetic,,Accessory,Oven Mitt,,,Common,,,938,50, $ 1.00 ,---,accessoryStore,genericB,TRUE,TRUE,FALSE,None,"[Ouch, too hot!]"
TRUE,TRUE,Cosmetic,accessory_paintbrush,Accessory,Paintbrush,accessory_paintbrush.name,accessory_paintbrush.desc,Uncommon,mcc:island_cosmetics.accessory.paintbrush,,"1,406",75, $ 1.50 ,---,accessoryStore,hitw,TRUE,TRUE,FALSE,Complete,[Paint the town red.]
TRUE,TRUE,Cosmetic,accessory_pink_parrots_flag,Accessory,Pink Parrots' Flag,accessory_pink_parrots_flag.name,accessory_pink_parrots_flag.desc,Epic,mcc:island_cosmetics.accessory.pink_parrots_flag,Faction Mastery,---,---, --- ,No Currency,factionReward,none,FALSE,FALSE,FALSE,None,A golden rod with a colored flag depicting the associated faction logo.
TRUE,TRUE,Cosmetic,accessory_pipe_wrench,Accessory,Pipe Wrench,accessory_pipe_wrench.name,accessory_pipe_wrench.desc,Common,mcc:island_cosmetics.accessory.pipe_wrench,,938,50, $ 1.00 ,---,parts,aceRace,TRUE,TRUE,FALSE,Complete,[Belonged to some Italian plumber]
TRUE,TRUE,Cosmetic,accessory_playing_cards,Accessory,Playing Cards,accessory_playing_cards.name,accessory_playing_cards.desc,Uncommon,mcc:island_cosmetics.accessory.playing_cards,,"1,406",75, $ 1.50 ,---,parts,genericB,TRUE,TRUE,FALSE,None,Playing cards
,TRUE,Cosmetic,,Accessory,Preppy Flag,,,Uncommon,,,"1,406",75, $ 1.50 ,---,parts,aceRace,TRUE,TRUE,FALSE,None,Small flag with 'MCC' written on it.
TRUE,TRUE,Cosmetic,accessory_purple_pandas_flag,Accessory,Purple Pandas' Flag,accessory_purple_pandas_flag.name,accessory_purple_pandas_flag.desc,Epic,mcc:island_cosmetics.accessory.purple_pandas_flag,Faction Mastery,---,---, --- ,No Currency,factionReward,none,FALSE,FALSE,FALSE,None,A golden rod with a colored flag depicting the associated faction logo.
TRUE,TRUE,Cosmetic,accessory_red_rabbits_flag,Accessory,Red Rabbits' Flag,accessory_red_rabbits_flag.name,accessory_red_rabbits_flag.desc,Epic,mcc:island_cosmetics.accessory.red_rabbits_flag,Faction Mastery,---,---, --- ,No Currency,factionReward,none,FALSE,FALSE,FALSE,None,A golden rod with a colored flag depicting the associated faction logo. [Go Red Rabbits!]
TRUE,TRUE,Cosmetic,accessory_robot_arm,Accessory,Robot Arm,accessory_robot_arm.name,accessory_robot_arm.desc,Epic,mcc:island_cosmetics.accessory.robot_arm,,"8,438",300, $ 6.00 ,---,parts,hitw,TRUE,TRUE,FALSE,Complete,A mechanical Robot Claw
TRUE,TRUE,Cosmetic,accessory_rose,Accessory,Rose,accessory_rose.name,accessory_rose.desc,Common,mcc:island_cosmetics.accessory.rose,Garden Variety,938,50, $ 1.00 ,---,accessoryStore,tgttos,TRUE,TRUE,FALSE,None,A single rose flower.
TRUE,TRUE,Cosmetic,accessory_stick,Accessory,Stick,accessory_stick.name,accessory_stick.desc,Common,mcc:island_cosmetics.accessory.stick,,938,50, $ 1.00 ,---,parts,tgttos,TRUE,TRUE,FALSE,Complete,A long branch with leaves still attached
,TRUE,Cosmetic,,Accessory,Tentacle Arm,,,Epic,,Animal Instinct,"8,438",300, $ 6.00 ,---,bundle,aceRace,TRUE,TRUE,FALSE,None,Make your whole off-hand arm look like an animated octopus tentacle. Or that of some eldritch abomination.
TRUE,TRUE,Cosmetic,accessory_trash_can_lid,Accessory,Trash Can Lid,accessory_trash_can_lid.name,accessory_trash_can_lid.desc,Common,mcc:island_cosmetics.accessory.trash_can_lid,,938,50, $ 1.00 ,---,parts,battleBox,TRUE,TRUE,FALSE,Complete,[I can do this all day]
,TRUE,Cosmetic,,Accessory,TV Remote,,,Uncommon,,,"1,406",75, $ 1.50 ,---,parts,genericA,TRUE,TRUE,FALSE,None,[Now we're channel surfing!]
TRUE,TRUE,Cosmetic,accessory_wormhole_blaster,Accessory,Wormhole Blaster,accessory_wormhole_blaster.name,accessory_wormhole_blaster.desc,Epic,mcc:island_cosmetics.accessory.wormhole_blaster,,"8,438",300, $ 6.00 ,---,accessoryStore,hitw,TRUE,TRUE,FALSE,Complete,[A colorful method of transportation]
TRUE,TRUE,Cosmetic,accessory_yellow_yaks_flag,Accessory,Yellow Yaks' Flag,accessory_yellow_yaks_flag.name,accessory_yellow_yaks_flag.desc,Epic,mcc:island_cosmetics.accessory.yellow_yaks_flag,Faction Mastery,---,---, --- ,No Currency,factionReward,none,FALSE,FALSE,FALSE,None,A golden rod with a colored flag depicting the associated faction logo.
,TRUE,Cosmetic,,Augment,Block of Ice,,,Legendary,,,"45,000","1,000", $ 20.00 ,---,particleStore,,TRUE,TRUE,FALSE,None,"When stationary for more than 5 seconds, your space is occupied by ice blocks, making you look frozen solid. The blocks break the second you move from your spot."
,TRUE,Cosmetic,,Augment,Cleaver,,,Epic,,,"16,875",600, $ 12.00 ,---,parts,,TRUE,TRUE,FALSE,None,"Occasionally, your left click will cause a Cleave animation to play rather than a simple punch. (1/3 of the time)"
,TRUE,Cosmetic,augment_concentrating,Augment,Concentrating,augment_concentrating.name,augment_concentrating.desc,Uncommon,,,"2,813",150, $ 3.00 ,---,particleStore,,TRUE,TRUE,FALSE,Complete,"When crouching, the player collects energy from the air! (Enchanting table effect)"
,TRUE,Cosmetic,,Augment,Greensprout,,,Rare,,Garden Variety,"7,313",300, $ 6.00 ,---,particleStore,,TRUE,TRUE,FALSE,None,"When sprinting, flowers spring up in your wake! (Similar to the player's sprinting in the game Okami)"
,TRUE,Cosmetic,,Augment,Off to the Races,,,Uncommon,,,"2,813",150, $ 3.00 ,---,parts,,TRUE,TRUE,FALSE,In Progress,"When you start running, a cloud of dust spawns at your location as you blast off! This only appears when you start running and not as you continue running."
,TRUE,Cosmetic,,Augment,Rainbow Trail,,,Epic,,,"16,875",600, $ 12.00 ,---,particleStore,,TRUE,TRUE,FALSE,None,"When sprinting, leave a bright rainbow trail incridibly similar to that of Nyan Cat"
,TRUE,Cosmetic,,Augment,Shooting Star,,,Rare,,,"7,313",300, $ 6.00 ,---,parts,,TRUE,TRUE,FALSE,None,"When falling 3 or more blocks, a red aura surrounds you making you look like a meteor falling from orbit! Wind resistance lines go around your feet to your head. Hitting the ground causes an explosion effect."
,TRUE,Cosmetic,,Augment,Super Jump,,,Uncommon,,,"2,813",150, $ 3.00 ,---,particleStore,,TRUE,TRUE,FALSE,In Progress,A small explosion occurrs at your feet whenever you jump
,TRUE,Cosmetic,,Augment,Thinking,,,Uncommon,,,"2,813",150, $ 3.00 ,---,bundle,,TRUE,TRUE,FALSE,None,"After standing still for 3 seconds, a thought bubble slowly forms above your character. The bubble takes 3 seconds to fully form and lasts 3 seconds before it despawns and the process repeats."
,TRUE,Cosmetic,,Aura,Angel Wings,,,Epic,,,"12,656",800, $ 16.00 ,---,particleStore,genericB,TRUE,TRUE,FALSE,None,White Particles in the shape of Angle Wings on the back of the player
TRUE,TRUE,Cosmetic,aura_angry,Aura,Angry!,aura_angry.name,aura_angry.desc,Uncommon,mcc:island_cosmetics.auras.angry,,"2,813",200, $ 4.00 ,---,particleStore,genericD,TRUE,TRUE,FALSE,In Progress,"Every few seconds, smoke billows out of the player's ears, and their head increases in size slightly. [Blow it out your ear!]"
,TRUE,Cosmetic,,Aura,Armor of Darkness,,,Uncommon,,Spooktacular,"2,813",200, $ 4.00 ,---,bundle,parkourTag,TRUE,TRUE,FALSE,In Progress,Black and grey shadows surround the player and dance around like an aura. Similar shadows faintly trail behind the player when moving.
,TRUE,Cosmetic,,Aura,Beta,,,Legendary,,,---,---, --- ,No Currency,bundle,none,FALSE,FALSE,FALSE,None,"The greek letter 'Beta' fades out from you. As it does so, the letter gets larger and more transparant."
,TRUE,Cosmetic,,Aura,Chicken,,,Rare,,,"7,313",400, $ 8.00 ,---,particleStore,tgttos,TRUE,TRUE,FALSE,None,Feathers occasionally flutter around the player.
,,Cosmetic,aura_chippy,Aura,Chippy,aura_chippy.name,aura_chippy.desc,Legendary,mcc:island_cosmetics.auras.chippy,,"27,000","1,200", $ 24.00 ,---,particleStore,battleBox,TRUE,TRUE,FALSE,None,"A small, smiling head made of diamonds slowly circles you. Every one in a while it speaks in a text box giving a cute quip. Reference to 'Clippy' the Paperclip and should give off a similar vibe. Have a list of quips for Chippy to randomly select."
TRUE,TRUE,Cosmetic,aura_cuckoo,Aura,Cuckoo,aura_cuckoo.name,aura_cuckoo.desc,Epic,mcc:island_cosmetics.auras.cuckoo,,"12,656",800, $ 16.00 ,---,particleStore,tgttos,TRUE,TRUE,FALSE,None,A yellow bird circles around the player's head.
,TRUE,Cosmetic,,Aura,Devil Wings,,,Epic,,,"12,656",800, $ 16.00 ,---,bundle,genericB,TRUE,TRUE,FALSE,None,Red Particles in the shape of Devil Wings on the back of the player
,TRUE,Cosmetic,,Aura,Dizzy,,,Rare,,,"7,313",400, $ 8.00 ,---,parts,hitw,TRUE,TRUE,FALSE,None,Spirals and spell particles gently float over your head. Maybe you're drunk.
TRUE,TRUE,Cosmetic,aura_mcc_coin,Aura,MCC Coin,aura_mcc_coin.name,aura_mcc_coin.desc,Rare,mcc:island_cosmetics.auras.mcc_coin,MC Championship,"7,313",400, $ 8.00 ,---,parts,aceRace,TRUE,TRUE,FALSE,In Progress,"Occasionally, MCC Coins float around the player and wink in-and-out of existence. [*These Coins do not affect final score.]"
TRUE,TRUE,Cosmetic,aura_sparkle,Aura,Sparkle,aura_sparkle.name,aura_sparkle.desc,Rare,mcc:island_cosmetics.auras.sparkle,,"7,313",400, $ 8.00 ,---,particleStore,genericC,TRUE,TRUE,FALSE,Complete,Small white sparks float from above your character to the ground around them. Remains in-place and around your character regardless of movement.
,TRUE,Cosmetic,,Aura,Stink Lines,,,Uncommon,,,"2,813",200, $ 4.00 ,---,particleStore,genericA,TRUE,TRUE,FALSE,None,Small green/yellow lines hover slightly above your character when stationary.
,TRUE,Cosmetic,,Aura,Storm Cloud,,,Uncommon,,,"2,813",200, $ 4.00 ,---,particleStore,skyBattle,TRUE,TRUE,FALSE,In Progress,A White cloud on the top of the player with a lightning blot coming out. Rain particles fall from the cloud on the back as well.
TRUE,TRUE,Cosmetic,aura_tornado,Aura,Tornado,aura_tornado.name,aura_tornado.desc,Epic,mcc:island_cosmetics.auras.tornado,,"12,656",800, $ 16.00 ,---,particleStore,skyBattle,TRUE,TRUE,FALSE,In Progress,A spiral of air surrounds the player and lifts nearby blocks of earth into its vortex. [you're not in SMP anymore.]
,TRUE,,,Consumable,Bada Bang Brew,,,Common,,,0,, --- ,Coin Only,special,,FALSE,FALSE,TRUE,None,"Gain a 10% speed and jump height boost every second and begin flashing red. When the buff expires after 30 seconds, explode and die, knocking back all players in a small radius. Respawn at the docks."
,TRUE,,,Consumable,Burger,,,,,,0,,  ,---,special,,FALSE,FALSE,FALSE,In Progress,"[""Enjoy your Burger, but fast!"" -V]"
,TRUE,,,Consumable,Chicken Cup,,,Common,,,0,, --- ,Coin Only,special,,FALSE,FALSE,TRUE,None,Transform into a chicken for 1 minute. But why?
,TRUE,,,Consumable,Go-Go Juice,,,Common,,,0,, --- ,Coin Only,special,,FALSE,FALSE,TRUE,None,Gain a 20% speed boost in the HUB for 10 minutes.
,TRUE,,,Consumable,Jumpo Juice,,,Common,,,0,, --- ,Coin Only,special,,FALSE,FALSE,TRUE,None,Double block jump height in the HUB for 10 minutes.
,TRUE,,,Consumable,MC Mocca,,,Common,,,0,, --- ,Coin Only,special,,FALSE,FALSE,TRUE,None,Transform your character to look like a random Noxcrew Developer for 10 minutes.
,TRUE,,,Consumable,Melonade,,,Common,,,0,, --- ,Coin Only,special,,FALSE,FALSE,TRUE,None,Gives you a melon item trail in the HUB for 2 minutes.
,TRUE,,,Consumable,Red Block,,,Common,,,0,, --- ,Coin Only,special,,FALSE,FALSE,TRUE,None,Gives you (elytra) wings in the HUB for 10 minutes.
,TRUE,,,Consumable,Slurpee,,,,,,0,,  ,---,special,,FALSE,FALSE,FALSE,In Progress,[Slurp!]
TRUE,,Cosmetic,aqua,Emoji,Aqua,aqua.name,aqua.desc,Special,,Faction Mastery,---,---, --- ,No Currency,none,,FALSE,FALSE,FALSE,Complete,Aqua Axolotyl Mascot
TRUE,,Cosmetic,blue,Emoji,Blue,blue.name,blue.desc,Special,,Faction Mastery,---,---, --- ,No Currency,none,,FALSE,FALSE,FALSE,Complete,Blue Bat Mascot
TRUE,,Cosmetic,chicken,Emoji,Chicken,chicken.name,chicken.desc,Special,,,---,---, --- ,No Currency,none,,FALSE,FALSE,FALSE,Complete,A Chicken
TRUE,,Cosmetic,clown,Emoji,Clown,clown.name,clown.desc,Special,,,---,---, --- ,No Currency,none,,FALSE,FALSE,FALSE,Complete,A Clown
TRUE,,Cosmetic,cyan,Emoji,Cyan,cyan.name,cyan.desc,Special,,Faction Mastery,---,---, --- ,No Currency,none,,FALSE,FALSE,FALSE,Complete,Cyan Creeper Mascot
TRUE,,Cosmetic,flushed,Emoji,Flushed,flushed.name,flushed.desc,Special,,,---,---, --- ,No Currency,none,,FALSE,FALSE,FALSE,Complete,Flushed Smiley
TRUE,,Cosmetic,green,Emoji,Green,green.name,green.desc,Special,,Faction Mastery,---,---, --- ,No Currency,none,,FALSE,FALSE,FALSE,Complete,Green Guardian Mascot
TRUE,,Cosmetic,imp,Emoji,Imp,imp.name,imp.desc,Special,,,---,---, --- ,No Currency,none,,FALSE,FALSE,FALSE,Complete,Evil Smiley
TRUE,,Cosmetic,joy,Emoji,Joy,joy.name,joy.desc,Special,,,---,---, --- ,No Currency,none,,FALSE,FALSE,FALSE,Complete,Crying happy Smiley
TRUE,,Cosmetic,laughing,Emoji,Laughing,laughing.name,laughing.desc,Special,,,---,---, --- ,No Currency,none,,FALSE,FALSE,FALSE,Complete,Laughing Smiley
TRUE,,Cosmetic,lime,Emoji,Lime,lime.name,lime.desc,Special,,Faction Mastery,---,---, --- ,No Currency,none,,FALSE,FALSE,FALSE,Complete,Lime Llama Mascot
TRUE,,Cosmetic,mcc_angry,Emoji,MCC Angry,mcc_angry.name,mcc_angry.desc,Special,,MC Championship,---,---, --- ,No Currency,none,,FALSE,FALSE,FALSE,Complete,Angry MCC Zombie
TRUE,,Cosmetic,mcc_smile,Emoji,MCC Smile,mcc_smile.name,mcc_smile.desc,Special,,MC Championship,---,---, --- ,No Currency,none,,FALSE,FALSE,FALSE,Complete,Smiling MCC Zombie
TRUE,,Cosmetic,orange,Emoji,Orange,orange.name,orange.desc,Special,,Faction Mastery,---,---, --- ,No Currency,none,,FALSE,FALSE,FALSE,Complete,Orange Ocelot Mascot
TRUE,,Cosmetic,pink,Emoji,Pink,pink.name,pink.desc,Special,,Faction Mastery,---,---, --- ,No Currency,none,,FALSE,FALSE,FALSE,Complete,Pink Parrot Mascot
TRUE,,Cosmetic,purple,Emoji,Purple,purple.name,purple.desc,Special,,Faction Mastery,---,---, --- ,No Currency,none,,FALSE,FALSE,FALSE,Complete,Purple Panda Mascot
TRUE,,Cosmetic,red,Emoji,Red,red.name,red.desc,Special,,Faction Mastery,---,---, --- ,No Currency,none,,FALSE,FALSE,FALSE,Complete,Red Rabbit Mascot
TRUE,,Cosmetic,scream,Emoji,Scream,scream.name,scream.desc,Special,,,---,---, --- ,No Currency,none,,FALSE,FALSE,FALSE,Complete,Scared Smiley
TRUE,,Cosmetic,skull,Emoji,Skull,skull.name,skull.desc,Special,,,---,---, --- ,No Currency,none,,FALSE,FALSE,FALSE,Complete,Skull
TRUE,,Cosmetic,smile,Emoji,Smile,smile.name,smile.desc,Special,,,---,---, --- ,No Currency,none,,FALSE,FALSE,FALSE,Complete,Smiley
TRUE,,Cosmetic,sunglasses,Emoji,Sunglasses,sunglasses.name,sunglasses.desc,Special,,,---,---, --- ,No Currency,none,,FALSE,FALSE,FALSE,Complete,Smiley with Sunglasses
TRUE,,Cosmetic,sweat_smile,Emoji,Sweat Smile,sweat_smile.name,sweat_smile.desc,Special,,,---,---, --- ,No Currency,none,,FALSE,FALSE,FALSE,Complete,Sweating Smiley
TRUE,,Cosmetic,thumbs_down,Emoji,Thumbs Down,thumbs_down.name,thumbs_down.desc,Special,,,---,---, --- ,No Currency,none,,FALSE,FALSE,FALSE,Complete,Thumbs Down
TRUE,,Cosmetic,thumbs_up,Emoji,Thumbs Up,thumbs_up.name,thumbs_up.desc,Special,,,---,---, --- ,No Currency,none,,FALSE,FALSE,FALSE,Complete,Thumbs Up
TRUE,,Cosmetic,tongue_out,Emoji,Tongue Out,tongue_out.name,tongue_out.desc,Special,,,---,---, --- ,No Currency,none,,FALSE,FALSE,FALSE,Complete,Smiley sticking its Ttongue out
TRUE,,Cosmetic,yellow,Emoji,Yellow,yellow.name,yellow.desc,Special,,Faction Mastery,---,---, --- ,No Currency,none,,FALSE,FALSE,FALSE,Complete,Yellow Yak Mascot
