Active,System,Item ID,Category,Item Name,Name Translation,Description Translation,Use Type,Place Type,Stack,Rarity,Dye-able?,Set,Icon ID,Coin Price,Premium Price,Dollar Price,Override,Source,In Daily,In Weekly,In Static,Status,Description
TRUE,Furniture,mcc:island_furniture.music.grand_piano,Prop,Grand Piano,mcc:island_furniture.music.grand_piano.name,mcc:island_furniture.music.grand_piano.desc,Animation,Floor,,Epic,No,Music,,"4,500",600, $ 12.00 ,,musicStore,,,TRUE,Complete,
TRUE,Furniture,mcc:island_furniture.music.harp,Prop,Harp,mcc:island_furniture.music.harp.name,mcc:island_furniture.music.harp.desc,Animation,Floor,,Epic,No,Music,,"4,500",600, $ 12.00 ,,musicStore,,,TRUE,Complete,
TRUE,Furniture,mcc:island_furniture.music.large_speaker,Prop,Large Speaker,mcc:island_furniture.music.large_speaker.name,mcc:island_furniture.music.large_speaker.desc,None,Floor/Surface,,Common,No,Music,,250,50, $ 1.00 ,,musicStore,,,TRUE,Complete,
TRUE,Furniture,mcc:island_furniture.music.large_wooden_speaker,Prop,Large Woodgrain Speaker,mcc:island_furniture.music.large_wooden_speaker.name,mcc:island_furniture.music.large_wooden_speaker.desc,None,Floor/Surface,,Common,No,Music,,250,50, $ 1.00 ,,musicStore,,,TRUE,Complete,
TRUE,Furniture,mcc:island_furniture.music.launchpad,Prop,Launchpad,mcc:island_furniture.music.launchpad.name,mcc:island_furniture.music.launchpad.desc,None,Floor,,Common,No,Music,,250,50, $ 1.00 ,,musicStore,,,TRUE,Complete,
TRUE,Furniture,mcc:island_furniture.music.microphone,Prop,Microphone,mcc:island_furniture.music.microphone.name,mcc:island_furniture.music.microphone.desc,None,Floor/Surface,,Common,No,Music,,250,50, $ 1.00 ,,musicStore,,,TRUE,Complete,
TRUE,Furniture,mcc:island_furniture.music.microphone_with_boom_stand,Prop,Microphone with Boom Stand,mcc:island_furniture.music.microphone_with_boom_stand.name,mcc:island_furniture.music.microphone_with_boom_stand.desc,None,Floor/Surface,,Uncommon,No,Music,,625,125, $ 2.50 ,,musicStore,,,TRUE,Complete,
TRUE,Furniture,mcc:island_furniture.music.mixing_console,Prop,Mixing Console,mcc:island_furniture.music.mixing_console.name,mcc:island_furniture.music.mixing_console.desc,Toggle,Floor/Surface,,Uncommon,No,Music,,625,125, $ 2.50 ,,musicStore,,,TRUE,Complete,
TRUE,Furniture,mcc:island_furniture.music.record_rack,Prop,Record Rack,mcc:island_furniture.music.record_rack.name,mcc:island_furniture.music.record_rack.desc,None,Floor/Surface,,Uncommon,No,Music,,625,125, $ 2.50 ,,musicStore,,,TRUE,Complete,
TRUE,Furniture,mcc:island_furniture.music.saxophone,Prop,Saxophone,mcc:island_furniture.music.saxophone.name,mcc:island_furniture.music.saxophone.desc,Animation,Floor/Surface,,Rare,No,Music,,"1,950",300, $ 6.00 ,,musicStore,,,TRUE,Complete,
TRUE,Furniture,mcc:island_furniture.music.small_speaker,Prop,Small Speaker,mcc:island_furniture.music.small_speaker.name,mcc:island_furniture.music.small_speaker.desc,None,Floor/Surface,,Common,No,Music,,250,50, $ 1.00 ,,musicStore,,,TRUE,Complete,
TRUE,Furniture,mcc:island_furniture.music.small_woodgrain_speaker,Prop,Small Woodgrain Speaker,mcc:island_furniture.music.small_woodgrain_speaker.name,mcc:island_furniture.music.small_woodgrain_speaker.desc,None,Floor/Surface,,Common,No,Music,,250,50, $ 1.00 ,,musicStore,,,TRUE,Complete,
TRUE,Furniture,mcc:island_furniture.music.tape_machine,Prop,Tape Machine,mcc:island_furniture.music.tape_machine.name,mcc:island_furniture.music.tape_machine.desc,None,Floor/Surface,,Common,No,Music,,250,50, $ 1.00 ,,musicStore,,,TRUE,Complete,
TRUE,Furniture,mcc:island_furniture.music.trumpet,Prop,Trumpet,mcc:island_furniture.music.trumpet.name,mcc:island_furniture.music.trumpet.desc,Animation,Floor/Surface,,Rare,No,Music,,"1,950",300, $ 6.00 ,,musicStore,,,TRUE,Complete,
TRUE,Furniture,mcc:island_furniture.music.turntable,Prop,Turntable,mcc:island_furniture.music.turntable.name,mcc:island_furniture.music.turntable.desc,Toggle,Floor/Surface,,Uncommon,No,Music,,625,125, $ 2.50 ,,musicStore,,,TRUE,Complete,
TRUE,Furniture,mcc:island_furniture.music.violin,Prop,Violin,mcc:island_furniture.music.violin.name,mcc:island_furniture.music.violin.desc,Animation,Floor/Surface,,Rare,No,Music,,"1,950",300, $ 6.00 ,,musicStore,,,TRUE,Complete,
TRUE,Furniture,mcc:island_furniture.music.acoustic_guitar.red,Prop,Acoustic Guitar (Red),mcc:island_furniture.music.acoustic_guitar.name,mcc:island_furniture.music.acoustic_guitar.desc,Animation,Floor/Surface,,Rare,Yes,Music,,"1,950",300, $ 6.00 ,,musicStore,,,TRUE,Complete,
TRUE,Furniture,mcc:island_furniture.music.drum_kit.purple,Prop,Drum Kit (Purple),mcc:island_furniture.music.drum_kit.name,mcc:island_furniture.music.drum_kit.desc,Animation,Floor,,Rare,Yes,Music,,"1,950",300, $ 6.00 ,,musicStore,,,TRUE,Complete,
TRUE,Furniture,mcc:island_furniture.music.electric_guitar.blue,Prop,Electric Guitar (Blue),mcc:island_furniture.music.electric_guitar.name,mcc:island_furniture.music.electric_guitar.desc,Animation,Floor/Surface,,Rare,Yes,Music,,"1,950",300, $ 6.00 ,,musicStore,,,TRUE,Complete,
TRUE,Furniture,mcc:island_furniture.music.keyboard.yellow,Prop,Keyboard (Yellow),mcc:island_furniture.music.keyboard.name,mcc:island_furniture.music.keyboard.desc,Animation,Floor/Surface,,Uncommon,Yes,Music,,625,125, $ 2.50 ,,musicStore,,,TRUE,Complete,
TRUE,Furniture,mcc:island_furniture.music.keyboard_with_stand.white,Prop,Keyboard with Stand (White),mcc:island_furniture.music.keyboard_with_stand.name,mcc:island_furniture.music.keyboard_with_stand.desc,Animation,Floor,,Rare,Yes,Music,,"1,950",300, $ 6.00 ,,musicStore,,,TRUE,Complete,
TRUE,Furniture,mcc:island_furniture.music.portable_turntable.gray,Prop,Portable Turntable (Gray),mcc:island_furniture.music.portable_turntable.name,mcc:island_furniture.music.portable_turntable.desc,Animation,Floor/Surface,,Uncommon,Yes,Music,,625,125, $ 2.50 ,,musicStore,,,TRUE,Complete,
